/NM0/D X,/NM0/D Y,/NM1/D X,/NM1/D Y
0,0,0,0
0.05,3.437925053531501e-11,0.05,0.0002112330985624348
0.1,1.673294868839163e-10,0.1,0.0003718632317123636
0.15,7.473868007298171e-10,0.15,0.0004906897826144134
0.2,3.258871695191973e-09,0.2,0.0005751815329115224
0.25,1.39188777242265e-08,0.25,0.0006327690238929431
0.3,5.776379115205782e-08,0.3,0.000671650053851174
0.35,2.289794206037333e-07,0.35,0.0006990032604897824
0.4,8.464605045274866e-07,0.4,0.0007193992551665459
0.45,2.853963698662825e-06,0.45,0.0007354094788160711
0.4999999999999999,8.655389653460078e-06,0.4999999999999999,0.0007485055021833835
0.5499999999999999,2.317064243845495e-05,0.5499999999999999,0.0007595742395516768
0.6,5.320515260459974e-05,0.6,0.0007691783159224805
0.65,0.0001035932610587462,0.65,0.0007776907740189068
0.7000000000000001,0.0001741529062409644,0.7000000000000001,0.0007853683439939509
0.7500000000000001,0.0002611186933259142,0.7500000000000001,0.0007923933486105741
0.8000000000000002,0.0003601217885912387,0.8000000000000002,0.0007988987739795707
0.8500000000000002,0.0004676954567081708,0.8500000000000002,0.0008049838701946996
0.9000000000000002,0.0005814332255351941,0.9000000000000002,0.0008107241971674269
0.9500000000000003,0.0006997078445983577,0.9500000000000003,0.0008161782906401395
1,0.0008213922051087618,1,0.0008213922051087616
1.05,0.000945673678587626,1.05,0.0008264026855187126
1.1,0.00107194397803312,1.1,0.0008312394316837432
1.15,0.001199734708037904,1.15,0.0008359267495212003
1.2,0.0013286781794599,1.2,0.0008404847800682195
1.25,0.001458482069693661,1.25,0.000844930432982745
1.3,0.001588911976822687,1.3,0.000849278110277555
1.350000000000001,0.001719778789920581,1.350000000000001,0.0008535402793696453
1.400000000000001,0.00185092922576466,1.400000000000001,0.0008577279367839968
1.450000000000001,0.001982238585239546,1.450000000000001,0.0008618509917672633
1.500000000000001,0.002113605139058897,1.500000000000001,0.0008659185906355017
1.550000000000001,0.00224494574500687,1.550000000000001,0.0008699393966589179
1.600000000000001,0.002376192412482904,1.600000000000001,0.0008739218359048503
1.650000000000001,0.002507289603415817,1.650000000000001,0.0008778743162355432
1.700000000000001,0.002638192109447009,1.700000000000001,0.0008818054242819035
1.750000000000001,0.002768863382285032,1.750000000000001,0.0008857241034835211
1.8,0.002899274221824515,1.8,0.0008896398150547082
